,xgb_importance,logreg_weight,avg_rank
weekly_bullish_int,0.43210542,7.562425668984313,1.0
k_below_thr,0.24122077,2.2162324660252133,3.0
kd_spread,0.09477554,3.5693515745003914,3.0
d_below_thr,0.103405036,2.209657274507397,4.0
dow,0.035029154,2.287562245447979,4.0
hour_bin,0.023376586,1.3561771858823055,6.0
body,0.0231925,1.291268923115612,7.0
true_range_norm,0.015471553,0.4278156688001112,8.5
lower_wick,0.010537287,1.276069916459507,9.0
upper_wick,0.010701461,0.38123028386879443,9.5
atr_norm,0.010184627,0.3426825440742416,11.0
